Name,Short Description,# of founders,date published,primary location,funding,current stage,accelerator/incubator,date range for government support
Rido,"Rido aims to be the first platform in Armenia that will connect private car owners with people who want to rent cars. The owners of cars will be able to list their services and customers will be able to compare, book, and rate services. Rido aims to provide a 30% cost savings compared to comparable options in market. The three co-founders have 5+ years of experience in their respective fields, including time at the Microsoft Innovation Center and with Hewlett Packard Enterprise, and have already started software development.",3,"Fall, 2018","Yerevan, Armenia",N/A,Inactive,AUA EPIC,
Rendchain,"RenderChain will help people who are specialized in 3D graphics, visual effects (VFX), film-making, animation, and motion graphics get their software-made products into video faster and with less expense by creating a marketplace of available excess computing resources. There will be two different user types associated with their blockchain-based, peer-to-peer system: Render Requestors, who are users that submit render projects toRenderChain, and PC Providers, who are users that rent out their idle computing resources to complete these projects. Render projects will be collected worldwide and then divided amongst the available resources, ultimately sending the rendered videos to the cloud.",2,"Fall, 2018","Yerevan, Armenia","$19,550",Inactive,AUA EPIC,
Edwise,"On average, editing a film takes 3-4 months, 80% of that time spent on technical editing and the remaining 20% on creative editing and decision making. Edwise is working to give filmmakers more time for creative editing by automating the most routine technical tasks through artificial intelligence - continuity editing, color correction, correct ordering, and cutting shots. Currently, the team is conducting market research and using raw footage of films as data to run the algorithms. Before Edwise, one of the founders was accepted to the Harvard Crossroads Summer Program affiliated with Harvard Business School. The other founder developed a system of minimal logic of predicates and has presented his findings at many universities, most notably Stockholm University.",2,"Fall, 2018","Yerevan, Armenia",N/A,Inactive,AUA EPIC,
Cow.net,"Research shows that 1 out of every 10 cows dies because of health problems that are not discovered on time. The Cow.net device will be the first monitoring device in this region’s livestock industry, and will track cows’ body temperature, heart rate, oxygen level in blood, calorie level, and other variables, thus exposing health problems as soon as the symptoms appear. Founder Sargis Keveyan developed this idea after opening up his innovation center in Gavar, Armenia. He spent time with farmers throughout the region and noticed the need for innovation in Armenia’s livestock and agriculture industry. The team placed third in the Startup Boost Weekend competition and is currently planning on testing a prototype.",1,"Fall, 2018","Yerevan, Armenia","$4,500",Active,AUA EPIC,
FinAssist,"FinAssist is a centralized portal where people will be able to apply for financial products, such as auto-loans, from multiple financial institutions simultaneously. The institutions will either accept or deny the customer’s applications, and the customer will have a dashboard of all accepted offers to filter and ultimately make a decision of which to choose. The 3 co-founder’s developed the concept for FinAssist due to a lack of information, transparency, and internet banking solutions in Armenia’s banking industry. The co-founders each have over 10 years of experience in the banking industry. Currently, there are initial agreements in place with 6 financial institutions and ongoing negotiations with others.",4,"Fall, 2018","Yerevan, Armenia",N/A,Active,AUA EPIC,
BeautyBook,"BeautyBook is a mobile booking system that helps clients schedule an appointment at a salon or beauty parlor. It aims to make the exploration of salons and the booking process more efficient for users, while also providing salons a comprehensive CRM toolkit and improve the quality of their services. Salons will be the test market for BeautyBook. With success, the team aims to expand into other markets and retail (B2C) segments.",3,"Fall, 2018","Yerevan, Armenia",N/A,Inactive,AUA EPIC,
Creatr,"Filmmakers frequently run into two capital issues - human and financial. Creatr hopes to solve both of these through their platform. It is challenging to find opportunities in the early stages of a film career, and Creatr aims to be a bridge between script writers, directors, actors, camera crews, and others. Once a team has formed and completed their project, they’ll be able to connect with investors and sponsors to implement their project. Currently, this is mostly done through social media, which has proved to be ineffective.",4,"Fall, 2018","Yerevan, Armenia",N/A,Inactive,AUA EPIC,
Reboot,"A device that can be attached to any computer to provide personalized and fun gaming. Portable Reboot step-pads provide physical activity to children and families by encouraging movement and exercise anywhere, anytime.",4,"Spring, 2019","Yerevan, Armenia",N/A,Inactive,AUA EPIC,
Smart Green,"A greenhouse automation system for small- and medium-sized greenhouses. Smart Green is designed to help farmers maximize revenue, economize resources, and protect yields through the Internet of Things (IoT) smart technology. It will perform automated greenhouse systems management based on data from wireless sensors placed throughout the greenhouse. The system will allow users to monitor the environment of the greenhouse and receive notifications in case of emergencies.",5,"Spring, 2019","Yerevan, Armenia",$500,Active,AUA EPIC,
Deep Talk,"An artificial intelligence based platform for relationship matching. Through data gathered from online video-interviews, Deep Talk utilizes a digital compatibility matching system and sophisticated algorithms to make high-quality matches.",4,"Spring, 2019","Yerevan, Armenia",N/A,Inactive,AUA EPIC,
Agourmet,"An augmented-reality application which acts as a primary or secondary menu for food-related businesses. It helps restaurants provide customers with a three-dimensional visualization of their dishes. Agourmet streamlines the process of ordering restaurant food, making it more accurate, entertaining, and reliable.",4,"Spring, 2019","Yerevan, Armenia",N/A,Inactive,AUA EPIC,
Vactube,"A glass tube solar vacuum fruit dryer that reduces the length of the fruit drying period by 3-5 times compared to existing greenhouse-type solar dryers. Using Vactube results in high-quality, attractive dried fruits that are free of added sugar, sulphur, or other additives.",2,"Spring, 2019","Yerevan, Armenia",N/A,Inactive,AUA EPIC,
Hooop,"A recruiting and employment platform for digital designers and businesses. Currently, designers search for clients and consulting opportunities while firms and businesses look to outsource design specialists for different tasks. Hooop will create a two-sided digital marketplace for designers and businesses which will ease the process of finding needed specialists while creating a mutually beneficial market in the creative field.",4,"Spring, 2019","Yerevan, Armenia",N/A,Inactive,AUA EPIC,
Eventor,"A platform with a database of service providers that enables quick, efficient, and low-cost planning of parties and other events. When planning birthdays for their children, parents can organize the birthday by choosing from trending all-inclusive packages which provide venue, food, decorations, activities, and photography.",3,"Spring, 2019","Yerevan, Armenia","$1,500",Active,AUA EPIC,
Worthie,"Worthie is an online survey tool integrated with an Honesty-Check System aimed at making survey participants honest while helping survey creators with accurate decision-making. Worthie will give a completely new approach to how online surveys are conducted. By creating a community of only honest survey participants, Worthie aims to become the hub for the most reliable and trustworthy data for accurate decision-making.",4,"Spring, 2019","Yerevan, Armenia",$400,Inactive,AUA EPIC,
BeTheTeacher,"An online tool for teachers and instructors to support lesson-planning. Currently, teachers spend too much time preparing classroom lessons from scratch. Additionally, quality teaching materials, which support the inclusion of all learners, are not easily accessible in Armenia and beyond. The lesson plan generator will suggest a wide variety of objectives, methods, and activities for teachers to choose from. Teachers will save time, create engaging and fun lessons, be supported with inclusive teaching strategies, and be able to create and sell their content for other instructors to use.",5,"Spring, 2019","Yerevan, Armenia",N/A,Inactive,AUA EPIC,
uniQ,uniQ is a platform connecting social media users with talented freelance writers to crowdsource the creation and labeling of captions for their social media posts. Users get customized caption referrals that will boost their social media engagement and influence while saving time and cost.,3,"Fall, 2019","Yerevan, Armenia","$1,500",Active,AUA EPIC,
LearnY,"LearnY is an educational platform that utilizes game-based learning to enhance knowledge acquisition among students of different ages. By integrating learning models into entertaining games, displaying detailed analytics, and adapting to various game styles, LearnY designs games that help students to have fun while learning.",3,"Fall, 2019","Yerevan, Armenia",N/A,Inactive,AUA EPIC,
eatUP,"eatUP helps people manage their dietary lifestyles and diet restrictions to improve their dining experience. The customized features of the application are based on the dietary requirements of each individual user and preferred restaurants, cafes, and other food outlets. It also enhances stronger brand loyalty between the restaurants and their targeted customers. The eatUP team is from AUA’s Public Health program.",4,"Fall, 2019","Yerevan, Armenia",N/A,Active,AUA EPIC,
Salon,"Salon is a web-based app that allows customers to book their beauty appointments from their smart device. Salon provides a one-stop shop to search, book, and engage hairdressers, nail parlors, and multidisciplinary beauty outlets.",2,"Fall, 2019","Yerevan, Armenia",N/A,On Hold,AUA EPIC,
Spok,"Spok is a language learning mobile app with a focus on speaking skills. The main advantage of the app is the use of an animated artificial intelligence-driven avatar that acts as a tutor and is able to engage the language learner with human-like interactions. As such, the app will replicate the typical functions of a language teacher. It will plan and implement a flexible learning path providing support along the way.",3,"Fall, 2019","Yerevan, Armenia","$1,000",Active,AUA EPIC,
TutWiser,"TutWiser is a platform for connecting professional tutors and students. The platform will provide individualized guidance to people who are looking for tutors. TutWiser offers smart solutions to quality and time management issues, finding the most suitable tutors with a personalized approach. TutWiser also provides learning process management tools which makes the education process easily trackable and provides feedback on effectiveness. For tutors and educational centers, it supplies a CRM system to manage their classrooms, finances, resources and much more.",3,"Fall, 2019","Yerevan, Armenia",$200,Active,AUA EPIC,
Feedle,"Feedle eliminates the stress of feeding your pet when you are physically away from home. Feedle is an innovative pet feeder which is designed to feed pets (dogs & cats) using IoT technology when the owner is absent. With a smart-built pet feeder, Feedle will refresh the pet's water and will give food at a specific time which can be regulated by the App. Feedle provides customizable features such as specialized scheduling of proportions designed for different breeds of dogs and cats.",5,"Fall, 2019","Yerevan, Armenia",N/A,Active,AUA EPIC,
mossil,"mossil is a public health startup that helps businesses maintain workplace sustainability by developing innovative technologies for planting moss on unusual surfaces, such as vertical surfaces and portable items. The product developed by the startup provides fresh air, humidifies the space and neutralizes surrounding microbes, while also stimulating human immune system functions. This startup uses IoT technology for autonomous maintenance and indoor environment management.",5,"Spring, 2020","Yerevan, Armenia",N/A,Active,AUA EPIC,
Styliish,"Styliish is a smartphone application that will help individuals choose clothing combinations. With machine learning algorithms, the app will suggest clothes to wear and will display a 3D model of a person modeling the clothes.",3,"Spring, 2020","Yerevan, Armenia","$2,000",Active,AUA EPIC,
Meally,"Meally is developing a mobile platform to provide food producers with residual revenue while helping reduce food waste. As a 2-sided business model, it provides customers with the opportunity to enjoy fresh, affordable meals.",2,"Spring, 2020","Yerevan, Armenia",N/A,Active,AUA EPIC,
ReView,"ReView is a platform to help organizations be more customer-centric and meet customer needs through market research. The platform allows companies to access a network of diverse panels and focus groups to generate valid data on customer insights about products or services. With ReView, companies will have more confidence in investing in new areas of growth and development.",3,"Spring, 2020","Yerevan, Armenia",N/A,Active,AUA EPIC,
MetaStyle,"MetaStyle is an AI-powered, web-based service that will transfer, modify, and enhance writing style while maintaining content integrity. It can be used in messaging as a plugin or in longer texts as a virtual writing-style editor.",3,"Spring, 2020","Yerevan, Armenia",N/A,Inactive,AUA EPIC,
narinj,narinj is a FinTech startup that provides payment solutions to groups of individuals who want to share purchases equitably with a few clicks.,2,"Spring, 2020","Yerevan, Armenia",N/A,Active,AUA EPIC,
Special Design Center,Development of New cost-effective photovoltaic Solar Energy Concentrator System.,1,2006-2007,"Yerevan, Armenia",N/A,,STEP EIF,
Transistor-Plus Co.,"Design, Fabrication and Marketing of Photovoltaic Systems Based on the Silicon Vertical Multi-Junction Solar Cells",1,2006-2007,"Yerevan, Armenia",N/A,,STEP EIF,
Vallex Mining LTD,New Integrated Bio-metallurgical Process For Gold Production,1,2006-2007,"Yerevan, Armenia",N/A,,STEP EIF,
Phytotetech Ltd.,Intensification of probiotics production process by mean of burdock’s raw inulin,1,2006-2007,"Yerevan, Armenia",N/A,,STEP EIF,
“Benik Abgaryan” seed potato producing farm,Elite seed-potato production using TPS-technology,1,2006-2007,"Yerevan, Armenia",N/A,,STEP EIF,
Macadamian AR CJSC,Optimus,2,2008,"Yerevan, Armenia",N/A,,STEP EIF,
Phytotech Ltd,A new generation of functional dairy food created by means of an information analytic system for lactic acid bacteria,2,2008,"Yerevan, Armenia",N/A,,STEP EIF,
LT-PYRKAL cjsc,"Development of Highly Thermoelectric (La,Ce)B6 Films for Low-Temperature Applications",2,2008,"Yerevan, Armenia",N/A,,STEP EIF,
“Green Life” Ltd.,"Application of bacterial melanin as the phytostimulator in agriculture, viticulture and dendrology",2,2008,"Yerevan, Armenia",N/A,,STEP EIF,
National Instruments,PC Console for Sonography,2,2008,"Yerevan, Armenia",N/A,,STEP EIF,
Uni Systems LLC,"Developing, Customizing, and Marketing for UNI_SHOP Software outside Armenia",2,2008,,N/A,,STEP EIF,
Arev CJSC,"Testing, Evaluation and Production Planning of Advanced Stand-Alone Water Desalination Systems Powered by Solar Energy",1,2009,"Yerevan, Armenia",N/A,,STEP EIF,
i-City LLC,Research and development of parallel calculations' means of preparation for peripheral multiprocessing devices,1,2009,"Yerevan, Armenia",N/A,,STEP EIF,
Arzni Kat LLC,A new generation of functional dairy food created by means of an information analytic system for lactic acid bacteria,1,2009,"Yerevan, Armenia",N/A,,STEP EIF,
Transistor Plus CJSC,Optimization and Production Planning of Maximum Power Point Trackers for Photovoltaic Market,1,2009,"Yerevan, Armenia",N/A,,STEP EIF,
Bitlis-Men LLC,Automated system for generator control and quick response,1,2009,"Yerevan, Armenia",N/A,,STEP EIF,
Bio-Chem Ltd.,“Technology and synthesis development of new porphyries preparations for use in agriculture against fungal diseases of plants”.,,2010,"Yerevan, Armenia",N/A,,STEP EIF,
Areg Petrosyan&Partner,“Sensor for a Thermoelectric Single-photon Detector”,,2010,"Yerevan, Armenia",N/A,,STEP EIF,
Nairit Plant CJSC,Application of nanoamorphous metals and metal oxides for attainment of new nanocomposites on the basis of chloroprene rubber matrix with improved physical and mechanical properties,,2010,"Yerevan, Armenia",N/A,,STEP EIF,
“Man’s Health” LLC “SANTE” Clinic,"Development, fabrication and commercialization of portable advanced electrocardiographs",,2010,"Yerevan, Armenia",N/A,,STEP EIF,
Industrial Technologies Co Ltd,Development of New Photovoltaic and Thermal (Hybrid) Solar Energy System,,2010,"Yerevan, Armenia",N/A,,STEP EIF,
StepLine LLC,Express test-system for diagnostics of overtraining syndrome,,2011,"Yerevan, Armenia",N/A,,STEP EIF,
Barva Ltd.,Rain Stimulation System with Remote Control,,2011,"Yerevan, Armenia",N/A,,STEP EIF,
Sourcio CJSC,Development of Cloud-Based Telemedicine and e-Health Platform,,2011,"Yerevan, Armenia",N/A,,STEP EIF,
develoWay CJSC,E-Agriculture Marketplace,,2011,"Yerevan, Armenia",N/A,,STEP EIF,
SEUA,Clean H2O,,2012,"Yerevan, Armenia",N/A,,STEP EIF,
MicroForester,MicroForester,,2012,"Yerevan, Armenia",N/A,,STEP EIF,
Engineering academy of armenia (EAA),Water from Air Generator (WAG),,2012,"Yerevan, Armenia",N/A,,STEP EIF,
SEUA,"Electrically Heated, Transparent Carbon Coatings",,2012,"Yerevan, Armenia",N/A,,STEP EIF,
Engineering research center of American University of Armenia (ERC/AUA),Ventilation Heat Recovery Device (VHRD),,2012,"Yerevan, Armenia",N/A,,STEP EIF,
Nimble-Q – cost-effective queuing management solution,,,2013,"Yerevan, Armenia",N/A,,STEP EIF,
Teamable,,,2013,"Yerevan, Armenia",N/A,,STEP EIF,
And2Win,,,2013,"Yerevan, Armenia",N/A,,STEP EIF,
Ventilation Heat Recovery Device (VHRD),,,2013,"Yerevan, Armenia",N/A,,STEP EIF,
New Seismic Detector,,,2013,"Yerevan, Armenia",N/A,,STEP EIF,
The Cyber Data Security,,,2014,"Yerevan, Armenia",N/A,,STEP EIF,
Macquaponics,,,2014,"Yerevan, Armenia",N/A,,STEP EIF,
SoloLearn,,,2014,"Yerevan, Armenia",N/A,,STEP EIF,
Forkize,,,2014,"Yerevan, Armenia",N/A,,STEP EIF,
atDent,,,2014,"Yerevan, Armenia",N/A,,STEP EIF,
Scycryptor,,,2015,"Yerevan, Armenia",N/A,,STEP EIF,
Movie Trip,,,2015,"Yerevan, Armenia",N/A,,STEP EIF,
InstaJob,,,2015,"Yerevan, Armenia",N/A,,STEP EIF,
Tree Scale,,,2015,"Yerevan, Armenia",N/A,,STEP EIF,
Localz,,,2015,"Yerevan, Armenia",N/A,,STEP EIF,
DermAI,AI based mobile application that identifies allergy type and dermatological issue using a database of medically approved images.,,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
DoWork.Ai,Platform helping teams to create software adequate estimates using a work-breakdown structure and collaborative approach.,,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
IBala,AI-based software with high accuracy cry & cough sound detection and voice conversion algorithms.,,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
Monitor Sync,"Low-cost advertisement solution with emotional reactions, gender, age group, and viewing time tracking and real-time personalized advertisement display.",,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
uniQ,Online platform crowdsourcing personalized captions from freelance copywriters and helps users increase engagement.,,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
Oores,"Mobile app helping people organize fast, spontaneous and non-planned meetups directly on the map.",,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
Noomee,Mobile companion app that helps the families and therapists of children with Autism Spectrum Disorder continue daily therapy at home.,,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
GlobalR,Platform helping internet domain name resellers provide more country-code domain extensions to their clients.,,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
GuideMe,Mobile application serving as an audio guide for tourists and travelers currently covering Armenia’s 70 popular and yet to discover places.,,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
Varpet,Tech solution connecting customers and masters in one shared platform.,,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
MyKidz,"Mobile app for kids and their parents, which includes comprehensive and categorized information about main kid-oriented products and services.",,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
FennecReads,Free location-based hard copy book sharing and borrowing social platform.,,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
Gotcha,Emotion detection and possible deception unmasking software.,,Winter 2020,"Yerevan, Armenia",,,Armenia Startup Academy,
Beticle,"Web platform allowing users to buy stocks of match result, tournament winner or best player and trade them by selling, buying and shorting stocks.",,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
MLabel,Platform that accelerates and simplifies image labeling process.,,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
AppearMe,Real-time and on-demand platform for litigation support helping to find appearance /deposition attorneys and court reporters within 60 seconds.,,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
LiveBoard,Interactive whiteboard app for visual collaboration for tutors and distributed teams.,,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
3dzook,Startup uses AI algorithm to create characters and artworks to increase the productivity of artists and designers in different fields.,,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
Lucky Carrot,"Peer-to-peer employee recognition and reward system, which helps companies improve their employee engagement and culture.",,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
FinAssist,Application mechanism that helps people apply for a loan to several financial institutions simultaneously and receive personalized offers from them.,,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
Creatr,"Online platform for filmmaking students where they can formulate their idea, find team, create portfolios and gain experience by doing real-life projects.",,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
Apaga,Enabling consumers and retailers to monetize recycling.,,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
ARD,AI based smart music application that allows users to generate personalized soundtracks based on their daily activities and emotions,,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
Rend Chain,Platform as a service that shortens the video rendering computing/storage pipeline to just a simple upload-then-download system.,,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
Virtlo,Mobile application to easily find any nearby place by looking around with phone’s camera.,,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
Cerebrus,"B2B all-in-one business intelligence platform providing descriptive, predictive, and prescriptive analytics.",,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
MemTalk,AI-powered meeting manager for note taking that automatically creates the summary and extracts key decisions from the meeting.,,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
Nuki,Alarm application which wakes up its users with the most suitable song depending on users' sleep stage.,,Spring 2019,"Yerevan, Armenia",,,Armenia Startup Academy,
Wavve (Dohirus),"Privacy oriented and fully customer controlled ad system, where advertisers can place exclusive deals and users can preselect them without giving out personal information.",,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
Illuria Security,"A cyber deception automation and threat intelligence technology, which reduces risks by detecting and tracking malicious activities.",,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
Impel-H1 Heart ...,A set of algorithms which improves the accuracy of heart beat detection up to 99.9%.,,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
RetentionForce,A marketing automation and CRM toolset designed specifically for beauty salon needs.,,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
Risksensor,An all-in-one financial risk management toolset utilizing artificial intelligence and big data technologies for retail traders earning speculative income.,,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
Petto,An AI assistant that creates a connection between the human and house plant by allowing the plants to send messages and notifications to the plant owner via mobile app.,,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
Puzi,A robot-ready intelligence for retail robots automating product sorting.,,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
Robin by Expper Technologies,Expper Technologies builds an emotionally intelligent robot - Robin. Robin creates a friendly environment by engaging children in playful and meaningful interactions by telling funny stories and playing interactive games with children. This makes medical procedures easier and faster.,,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
Altered Silicon,An ASIC + FPGA hybrid product for both mining and any other compute demanding tasks.,,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
AnteoHealth,A digital health platform to help healthcare practitioners create and promote targeted behavior change and treatment programs through technology.,,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
EasyDMARC,"The smartest and easiest DMARC deployment, reporting and alerting service to make your sent email trusted and maximize the security of your domain and emails.",,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
Advanced Filtering,A cell sorting system which allows to filter blood and other liquids and extract only desired particles.,,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
CryptoNDX,A platform that provides comprehensive information about blockchain & crypto exchanges.,,Fall 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
ForgeFiction,ForgeFiction is a platform that delivers original content to media & entertainment industry by enabling fiction enthusiasts to collaborate and create new stories and fictional worlds.,,Spring 2018,"Yerevan, Armenia",,,Armenia Startup Academy,
